,Ground truth data bytes,Bytes found,Bytes missed,Bytes recovery fraction
[,4463,4320,143,0.9679587721263724
b2sum,4472,4304,168,0.962432915921288
base32,2671,2548,123,0.953949831523774
base64,2699,2608,91,0.9662838088180808
basename,2193,2102,91,0.9585043319653442
basenc,3793,3423,370,0.9024518850514104
cat,2644,2553,91,0.9655824508320726
chcon,20631,20496,135,0.9934564490330086
chgrp,4803,4651,152,0.9683531126379348
chmod,4776,4602,174,0.96356783919598
chown,4964,4820,144,0.9709911361804996
chroot,2626,2535,91,0.9653465346534652
cksum,161248,29876,131372,0.185279817424092
comm,2785,2690,95,0.9658886894075404
cp,12062,11214,848,0.9296965677333776
csplit,31324,30228,1096,0.9650108542970246
cut,6800,6709,91,0.9866176470588236
date,18373,17641,732,0.9601589288630056
dd,11354,10131,1223,0.8922846573894663
df,13944,11740,2204,0.8419391853126793
dir,52738,44599,8139,0.84567105313057
dircolors,8180,3281,4899,0.4011002444987775
dirname,2101,2010,91,0.9566872917658258
du,37523,36212,1311,0.9650614289902192
echo,1915,1824,91,0.9524804177545692
env,4112,3590,522,0.8730544747081712
expand,2319,2227,92,0.9603277274687364
expr,30656,29313,1343,0.9561912839248434
factor,23027,22319,708,0.9692534850393016
false,1885,1794,91,0.9517241379310344
fmt,47599,47508,91,0.9980881951301498
fold,2276,2184,92,0.9595782073813708
groups,2165,2074,91,0.9579676674364896
head,35911,35820,91,0.9974659575060566
hostid,2057,1958,99,0.9518716577540108
id,2721,2630,91,0.9665564130834252
join,3126,3023,103,0.9670505438259756
kill,2834,2210,624,0.7798165137614679
link,2053,1954,99,0.951777886020458
ln,9661,7423,2238,0.7683469620122141
logname,2061,1962,99,0.9519650655021834
ls,52738,44599,8139,0.84567105313057
md5sum,3345,3230,115,0.9656203288490284
mkdir,6846,6714,132,0.9807186678352322
mkfifo,2546,2438,108,0.95758051846033
mknod,2655,2547,108,0.9593220338983052
mktemp,2681,2527,154,0.9425587467362924
mv,12285,11168,1117,0.909076109076109
nice,2122,2031,91,0.9571159283694628
nl,31091,29976,1115,0.964137531761603
nohup,2299,2196,103,0.9551979121357111
nproc,2358,2267,91,0.9614079728583546
numfmt,4029,3924,105,0.9739389426656738
od,16365,16171,194,0.988145432325084
paste,2217,2126,91,0.9589535408209292
pathchk,2344,2253,91,0.9611774744027304
pinky,5002,4911,91,0.9818072770891644
pr,6996,6799,197,0.9718410520297311
printenv,2052,1961,91,0.9556530214424952
printf,6293,5994,299,0.9524868901954552
ptx,38535,37006,1529,0.9603217853899052
pwd,3093,3002,91,0.9705787261558356
readlink,6662,4499,2163,0.6753227259081357
realpath,6753,4590,2163,0.6796979120390937
rm,5075,4806,269,0.9469950738916256
rmdir,5987,5884,103,0.9827960581259396
runcon,2214,2123,91,0.9588979223125564
seq,4357,4208,149,0.9658021574477852
sha1sum,3349,3234,115,0.9656613914601374
sha224sum,3869,3754,115,0.9702765572499352
sha256sum,3877,3762,115,0.9703378901212276
sha384sum,6229,5470,759,0.8781505859688553
sha512sum,6261,5502,759,0.8787733588883565
shred,6721,6533,188,0.972027972027972
shuf,4465,4362,103,0.9769316909294512
sleep,2255,2148,107,0.952549889135255
sort,20811,19990,821,0.9605497092883571
split,4729,4074,655,0.8614929160499049
stat,9167,8617,550,0.940002181738846
stdbuf,5343,5240,103,0.9807224405764552
stty,8535,8403,132,0.9845342706502636
sum,4413,4290,123,0.9721278042148198
sync,2146,2051,95,0.9557315936626282
tac,38578,37482,1096,0.9715900254030796
tail,38862,38568,294,0.992434769183264
tee,10555,10460,95,0.9909995262908574
test,4288,4196,92,0.9785447761194028
timeout,3663,3144,519,0.8583128583128583
touch,15837,15142,695,0.9561154259013702
tr,12260,12165,95,0.9922512234910276
true,1885,1794,91,0.9517241379310344
truncate,2585,2494,91,0.9647969052224372
tsort,2391,2284,107,0.9552488498536176
tty,2062,1971,91,0.9558680892337535
uname,2860,2761,99,0.9653846153846154
unexpand,2344,2253,91,0.9611774744027304
uniq,2943,2844,99,0.9663608562691132
unlink,2053,1954,99,0.951777886020458
uptime,13110,12971,139,0.989397406559878
users,2167,2068,99,0.9543147208121828
vdir,52738,44599,8139,0.84567105313057
wc,36613,3528,33085,0.0963592166716739
who,5007,4904,103,0.9794287996804474
whoami,2069,1970,99,0.9521507974867084
yes,2166,2067,99,0.9542936288088644
