,Ground truth array varnodes,Array comparisons,Array varnodes inferred as array,Array varnodes inferred as array fraction,Array length (elements) average error,Array length (elements) average error ratio,Array size (bytes) average error,Array size (bytes) average error ratio,Array dimension match score,Array average element type comparison score
[,15,10,10,0.6666666666666666,15.0,1.379390402075227,2.9,0.0793904020752269,1.0,0.7666666666666666
b2sum,24,30,20,0.8333333333333334,43.3,21.879241245136186,28.633333333333333,0.4000745784695201,0.9666666666666668,0.3777777777777777
base32,12,8,8,0.6666666666666666,37.625,5.1409046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
base64,12,9,9,0.75,33.44444444444444,4.5696930393428445,1.6666666666666667,0.0141374837872892,1.0,0.6666666666666666
basename,10,7,7,0.7,43.0,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
basenc,20,13,13,0.65,42.23076923076923,3.1636336426219693,1.1538461538461535,0.0097874887758156,1.0,0.6923076923076924
cat,11,8,8,0.7272727272727273,53.125,5.1409046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
chcon,18,12,12,0.6666666666666666,49.083333333333336,3.4487644885018427,4.583333333333333,0.0320978218351759,1.0,0.6944444444444445
chgrp,15,9,9,0.6,58.22222222222222,4.601439071088876,2.333333333333333,0.0458835155333209,1.0,0.6666666666666666
chmod,19,10,10,0.5263157894736842,47.6,4.216569889254714,3.5,0.1165698892547141,1.0,0.7000000000000001
chown,16,10,10,0.625,55.8,4.155580878265703,2.4,0.0555808782657031,1.0,0.6666666666666666
chroot,11,8,8,0.7272727272727273,38.0,5.158761812117843,2.25,0.0337618121178432,1.0,0.6666666666666666
cksum,66,62,50,0.7575757575757576,738.516129032258,12.14372250130331,4245.5,0.3152706678859718,0.967741935483871,0.5161290322580645
comm,22,16,16,0.7272727272727273,35.875,4.103190429868445,3.0,0.1031904298684454,0.8125,0.6875
cp,40,27,26,0.65,52.629629629629626,4.476044403427672,3.740740740740741,0.0778962552795237,1.0,0.654320987654321
csplit,35,30,28,0.8,115.43333333333334,2.344805791267139,275.3,0.1149880829338058,0.9666666666666668,0.7111111111111111
cut,12,8,8,0.6666666666666666,58.0,5.1411488098857,2.875,0.0161488098857003,1.0,0.6666666666666666
date,63,57,55,0.873015873015873,91.84210526315788,3.350887915857317,39.80701754385965,0.1754493193660888,0.9298245614035088,0.6491228070175439
dd,34,23,21,0.6176470588235294,182.91304347826087,2.3272540315042423,172.69565217391303,0.1098627271564162,0.8695652173913043,0.6956521739130435
df,25,16,16,0.64,120.5625,8.07171180430593,43.5,1.9467118043059304,1.0,0.6458333333333334
dir,71,61,60,0.8450704225352113,135.95081967213116,8.784114041687996,82.31147540983606,3.0464091236552093,0.9344262295081968,0.6939890710382514
dircolors,13,9,9,0.6923076923076923,102.88888888888889,6.125248594898401,1.6666666666666667,0.0141374837872892,1.0,0.6666666666666666
dirname,10,7,7,0.7,34.142857142857146,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
du,51,41,38,0.7450980392156863,124.6829268292683,2.608183576507911,226.7560975609756,0.122951106995716,0.951219512195122,0.7317073170731708
echo,9,6,6,0.6666666666666666,19.166666666666668,1.6878728923476003,2.5,0.0212062256809338,1.0,0.7777777777777778
env,18,13,13,0.7222222222222222,41.76923076923077,3.264848217520755,3.076923076923077,0.111002063674601,1.0,0.6666666666666666
expand,13,9,9,0.6923076923076923,31.55555555555556,5.347470817120622,1.6666666666666667,0.0141374837872892,1.0,0.6666666666666666
expr,33,27,25,0.7575757575757576,118.5925925925926,2.5853331543179854,305.7407407407408,0.1077579228365038,0.9629629629629628,0.7160493827160495
factor,37,27,27,0.7297297297297297,394.8888888888889,11.232225722108993,2.4444444444444446,0.1118553517386202,1.0,0.3209876543209876
false,9,6,6,0.6666666666666666,19.166666666666668,1.6878728923476003,2.5,0.0212062256809338,1.0,0.7777777777777778
fmt,12,9,9,0.75,4380.555555555556,8.903026372676178,1.6666666666666667,0.0141374837872892,1.0,0.5925925925925926
fold,12,8,8,0.6666666666666666,37.625,5.1409046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
groups,11,8,8,0.7272727272727273,26.0,5.1409046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
head,18,15,15,0.8333333333333334,32.0,3.32779052598666,5.133333333333334,0.1277905259866592,1.0,0.688888888888889
hostid,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
id,14,11,11,0.7857142857142857,38.90909090909091,3.751826772449341,1.6363636363636365,0.0245540451766132,1.0,0.6666666666666666
join,18,13,13,0.7222222222222222,32.69230769230769,5.548249027237354,1.1538461538461535,0.0097874887758156,1.0,0.6923076923076924
kill,14,9,9,0.6428571428571429,34.55555555555556,4.628172571506587,2.7777777777777777,0.0726170159510319,1.0,0.7037037037037037
link,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
ln,22,13,13,0.5909090909090909,56.53846153846154,4.47613364262197,2.3846153846153846,0.0145951810835079,1.0,0.717948717948718
logname,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
ls,71,61,60,0.8450704225352113,135.95081967213116,8.784114041687996,82.31147540983606,3.0464091236552093,0.9344262295081968,0.6939890710382514
md5sum,16,10,10,0.625,52.6,4.152723735408561,2.3,0.0527237354085603,1.0,0.6666666666666666
mkdir,19,11,11,0.5789473684210527,34.09090909090909,4.0608817175042855,3.363636363636364,0.0608817175042855,1.0,0.7272727272727272
mkfifo,12,8,8,0.6666666666666666,35.5,5.208212361568393,3.625,0.0832123615683926,1.0,0.7083333333333334
mknod,12,8,8,0.6666666666666666,35.5,5.208212361568393,3.625,0.0832123615683926,1.0,0.7083333333333334
mktemp,12,8,8,0.6666666666666666,48.0,6.0159046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
mv,34,21,20,0.5882352941176471,36.85714285714285,4.326342804407007,4.809523809523809,0.1001523282165305,1.0,0.6507936507936508
nice,10,7,7,0.7,34.142857142857146,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
nl,36,28,26,0.7222222222222222,125.39285714285714,2.3847408988066285,294.5357142857143,0.1027933541637715,0.9642857142857144,0.7142857142857143
nohup,13,7,7,0.5384615384615384,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
nproc,10,7,7,0.7,38.57142857142857,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
numfmt,20,17,17,0.85,56.88235294117647,4.819065432593271,1.588235294117647,0.0148374914168001,1.0,0.6862745098039215
od,40,28,28,0.7,31.821428571428573,2.884210358306582,2.4285714285714284,0.0627817868780107,0.9642857142857144,0.6904761904761906
paste,10,7,7,0.7,43.0,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
pathchk,10,7,7,0.7,34.142857142857146,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
pinky,17,14,14,0.8235294117647058,33.42857142857143,3.4519996032152367,19.642857142857142,0.523428174643808,1.0,0.7142857142857143
pr,20,15,14,0.7,133.66666666666666,2.928016867429033,69.46666666666667,0.1280168674290333,0.9333333333333332,0.7999999999999999
printenv,10,7,7,0.7,34.142857142857146,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
printf,17,12,12,0.7058823529411765,29.166666666666668,1.2064442586738002,19.08333333333333,0.1231109253404669,1.0,0.8333333333333334
ptx,39,31,29,0.7435897435897436,119.80645161290325,2.481148461594928,266.1290322580645,0.0974539051433143,0.967741935483871,0.7204301075268816
pwd,10,7,7,0.7,38.57142857142857,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
readlink,12,8,8,0.6666666666666666,58.0,5.1487171692607,2.875,0.0237171692607003,1.0,0.7083333333333334
realpath,11,7,7,0.6363636363636364,74.0,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
rm,15,9,9,0.6,61.55555555555556,5.680804150453956,1.6666666666666667,0.0141374837872892,1.0,0.6666666666666666
rmdir,14,10,10,0.7142857142857143,36.1,4.41312373540856,2.3,0.0131237354085603,1.0,0.7000000000000001
runcon,10,7,7,0.7,51.85714285714285,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
seq,15,10,10,0.6666666666666666,32.2,4.41272373540856,1.5,0.0127237354085603,1.0,0.7000000000000001
sha1sum,16,11,11,0.6875,48.18181818181818,3.8070215776441456,5.727272727272728,0.0797488503714184,1.0,0.6969696969696969
sha224sum,17,12,12,0.7058823529411765,61.5,3.7814364461738,6.583333333333333,0.1147697795071335,1.0,0.6944444444444445
sha256sum,17,12,12,0.7058823529411765,60.833333333333336,3.758288298025652,5.916666666666667,0.0916216313589854,1.0,0.6944444444444445
sha384sum,17,11,11,0.6470588235294118,48.18181818181818,3.8070215776441456,10.090909090909092,0.0797488503714184,1.0,0.6969696969696969
sha512sum,17,11,11,0.6470588235294118,48.18181818181818,3.8070215776441456,10.090909090909092,0.0797488503714184,1.0,0.6969696969696969
shred,27,19,19,0.7037037037037037,71.42105263157895,4.849621762015556,36.47368421052632,1.639095446226083,1.0,0.7017543859649122
shuf,12,8,8,0.6666666666666666,53.125,5.1409046692607,1.875,0.0159046692607003,1.0,0.7083333333333334
sleep,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
sort,46,27,26,0.5652173913043478,52.92592592592592,2.836600985236942,3.4814814814814814,0.0958602444962011,0.925925925925926,0.6666666666666666
split,18,12,12,0.6666666666666666,54.91666666666666,3.723009127878061,2.1666666666666665,0.0563424612113942,1.0,0.6944444444444445
stat,32,22,21,0.65625,68.5909090909091,2.589466375355105,47.54545454545455,0.089466375355105,0.9545454545454546,0.7575757575757577
stdbuf,16,11,11,0.6875,36.27272727272727,6.103186350371418,2.090909090909091,0.0122772594623275,1.0,0.6363636363636364
stty,19,14,14,0.7368421052631579,311.1428571428572,8.687659811006114,1.6428571428571428,0.0448026681489716,1.0,0.5476190476190476
sum,22,16,16,0.7272727272727273,20.4375,3.90811880178582,3.375,0.0331188017858192,1.0,0.6666666666666666
sync,11,7,7,0.6363636363636364,38.57142857142857,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
tac,33,28,26,0.7878787878787878,117.03571428571428,2.6347408988066285,294.5357142857143,0.1027933541637715,0.9642857142857144,0.7142857142857143
tail,20,14,14,0.7,48.0,3.591008772661089,4.357142857142857,0.0642230583753747,1.0,0.6190476190476191
tee,14,10,10,0.7142857142857143,35.6,5.11282139165856,2.3,0.0128213916585603,1.0,0.6666666666666666
test,12,9,9,0.75,16.555555555555557,1.5215448911946967,2.333333333333333,0.0771004467502522,1.0,0.7777777777777778
timeout,13,9,9,0.6923076923076923,41.44444444444444,4.628172571506587,2.7777777777777777,0.0726170159510319,1.0,0.7037037037037037
touch,56,50,49,0.875,79.26,4.084441766002807,24.92,0.164441766002807,0.96,0.6066666666666667
tr,17,13,13,0.7647058823529411,49.15384615384615,3.769102392621969,1.7692307692307692,0.0121913349296617,1.0,0.6666666666666666
true,9,6,6,0.6666666666666666,19.166666666666668,1.6878728923476003,2.5,0.0212062256809338,1.0,0.7777777777777778
truncate,10,7,7,0.7,47.42857142857143,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
tsort,13,8,8,0.6153846153846154,30.5,6.2659046692607,2.875,0.0471546692607003,1.0,0.6666666666666666
tty,10,7,7,0.7,38.57142857142857,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
uname,12,8,8,0.6666666666666666,80.25,9.0159046692607,1.875,0.0159046692607003,1.0,0.5833333333333334
unexpand,11,8,8,0.7272727272727273,39.375,6.0159046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
uniq,15,12,12,0.8,50.25,5.135603112840467,1.9166666666666667,0.0522697795071335,1.0,0.6944444444444445
unlink,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
uptime,18,13,12,0.6666666666666666,97.07692307692308,3.3664522828811667,80.23076923076923,0.135683052111936,0.9230769230769232,0.7948717948717948
users,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
vdir,71,61,60,0.8450704225352113,135.95081967213116,8.784114041687996,82.31147540983606,3.0464091236552093,0.9344262295081968,0.6939890710382514
wc,16,11,11,0.6875,3015.818181818182,4.206105908022343,2976.3636363636365,0.2061059080223424,1.0,0.7272727272727272
who,25,19,19,0.76,37.21052631578947,2.3322299707901744,1.4736842105263157,0.0164404971059637,1.0,0.8245614035087719
whoami,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
yes,12,7,7,0.5833333333333334,29.714285714285715,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
