,Ground truth data bytes,Bytes found,Bytes missed,Bytes recovery fraction
[,4463,3500,963,0.7842258570468295
b2sum,4472,3152,1320,0.7048300536672629
base32,2671,1668,1003,0.6244852115312617
base64,2699,1664,1035,0.6165246387550944
basename,2193,1478,715,0.6739626082991336
basenc,3793,1919,1874,0.5059319799630899
cat,2644,1771,873,0.6698184568835098
chcon,20631,19308,1323,0.935873200523484
chgrp,4803,3263,1540,0.6793670622527587
chmod,4776,3154,1622,0.6603852596314908
chown,4964,3400,1564,0.684931506849315
chroot,2626,1911,715,0.7277227722772277
cksum,161248,10363,150885,0.0642674637824965
comm,2785,2002,783,0.7188509874326751
cp,12062,7133,4929,0.591361299950257
csplit,31324,29232,2092,0.9332141488954157
cut,6800,5916,884,0.87
date,18373,13069,5304,0.7113155173352201
dd,11354,8493,2861,0.7480183195349657
df,13944,10093,3851,0.7238238668961561
dir,52738,37069,15669,0.7028897569115249
dircolors,8180,1922,6258,0.2349633251833741
dirname,2101,1449,652,0.6896715849595431
du,37523,34187,3336,0.9110945286890708
echo,1915,1392,523,0.7268929503916449
env,4112,2469,1643,0.6004377431906615
expand,2319,1593,726,0.6869340232858991
expr,30656,28585,2071,0.9324438935281836
factor,23027,9450,13577,0.4103878056194902
false,1885,1362,523,0.7225464190981432
fmt,47599,1764,45835,0.0370596020924809
fold,2276,1525,751,0.6700351493848857
groups,2165,1525,640,0.7043879907621247
head,35911,34944,967,0.9730723176742502
hostid,2057,1430,627,0.6951871657754011
id,2721,1815,906,0.6670341786108048
join,3126,2223,903,0.7111324376199616
kill,2834,1586,1248,0.5596330275229358
link,2053,1426,627,0.6945932781295665
ln,9661,5479,4182,0.5671255563606252
logname,2061,1434,627,0.6957787481804949
ls,52738,37069,15669,0.7028897569115249
md5sum,3345,2318,1027,0.6929745889387146
mkdir,6846,5566,1280,0.81302950628104
mkfifo,2546,1610,936,0.6323644933228594
mknod,2655,1719,936,0.6474576271186441
mktemp,2681,1823,858,0.6799701603879149
mv,12285,7791,4494,0.6341880341880342
nice,2122,1471,651,0.6932139491046183
nl,31091,27958,3133,0.8992312887974012
nohup,2299,1668,631,0.7255328403653762
nproc,2358,1675,683,0.7103477523324851
numfmt,4029,2668,1361,0.662199056837925
od,16365,14702,1663,0.8983806904980141
paste,2217,1502,715,0.6774921064501579
pathchk,2344,1685,659,0.7188566552901023
pinky,5002,4172,830,0.8340663734506197
pr,6996,5411,1585,0.7734419668381932
printenv,2052,1401,651,0.6827485380116959
printf,6293,5526,767,0.8781185444144287
ptx,38535,34166,4369,0.886622550927728
pwd,3093,1738,1355,0.5619139993533786
readlink,6662,3695,2967,0.5546382467727409
realpath,6753,3602,3151,0.5333925662668444
rm,5075,3610,1465,0.7113300492610838
rmdir,5987,5080,907,0.8485050943711374
runcon,2214,1435,779,0.6481481481481481
seq,4357,3526,831,0.8092724351618086
sha1sum,3349,2322,1027,0.6933412959092267
sha224sum,3869,2586,1283,0.6683897647971052
sha256sum,3877,2594,1283,0.6690740263090018
sha384sum,6229,4494,1735,0.7214641194413228
sha512sum,6261,4526,1735,0.7228877176169941
shred,6721,5128,1593,0.7629816991519119
shuf,4465,3382,1083,0.7574468085106383
sleep,2255,1620,635,0.7184035476718403
sort,20811,16580,4231,0.7966940560280621
split,4729,2821,1908,0.5965320363713259
stat,9167,7372,1795,0.8041889385840515
stdbuf,5343,4516,827,0.8452180422983343
stty,8535,3418,5117,0.4004686584651435
sum,4413,3681,732,0.8341264445955132
sync,2146,1459,687,0.6798695246971109
tac,38578,28162,10416,0.7300015552905801
tail,38862,36536,2326,0.9401471874839176
tee,10555,9788,767,0.9273330175272384
test,4288,3376,912,0.7873134328358209
timeout,3663,2456,1207,0.6704886704886704
touch,15837,10984,4853,0.6935657005746038
tr,12260,2461,9799,0.2007340946166395
true,1885,1362,523,0.7225464190981432
truncate,2585,1654,931,0.6398452611218569
tsort,2391,1756,635,0.7344207444583856
tty,2062,1379,683,0.6687681862269641
uname,2860,1793,1067,0.6269230769230769
unexpand,2344,1621,723,0.6915529010238908
uniq,2943,1912,1031,0.6496772001359157
unlink,2053,1426,627,0.6945932781295665
uptime,13110,12351,759,0.9421052631578948
users,2167,1540,627,0.7106598984771574
vdir,52738,37069,15669,0.7028897569115249
wc,36613,2619,33994,0.0715319695190233
who,5007,3714,1293,0.7417615338526063
whoami,2069,1442,627,0.6969550507491542
yes,2166,1539,627,0.7105263157894737
