,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,"Varnode average comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,266,1,18,5,128,114,0.8157894736842105,0.9962406015037594,0.42857142857142855
b2sum,237,1,8,7,118,103,0.8312236286919831,0.9957805907172996,0.4345991561181435
base32,160,2,6,2,82,68,0.825,0.9875,0.425
base64,160,1,6,2,82,69,0.83125,0.99375,0.43125
basename,129,1,6,2,77,43,0.8003875968992248,0.9922480620155039,0.3333333333333333
basenc,219,5,8,2,106,98,0.8242009132420092,0.9771689497716894,0.4474885844748858
cat,164,1,6,2,98,57,0.8109756097560976,0.9939024390243902,0.3475609756097561
chcon,363,2,14,4,234,109,0.7988980716253443,0.9944903581267218,0.3002754820936639
chgrp,339,2,11,5,204,117,0.8119469026548672,0.9941002949852508,0.34513274336283184
chmod,347,3,12,7,211,114,0.803314121037464,0.9913544668587896,0.3285302593659942
chown,359,2,12,5,209,131,0.8168523676880223,0.9944289693593314,0.3649025069637883
chroot,198,1,8,2,87,100,0.8497474747474747,0.9949494949494949,0.5050505050505051
cksum,678,13,24,13,396,232,0.7986725663716814,0.9808259587020649,0.3421828908554572
comm,171,1,11,3,103,53,0.7865497076023392,0.9941520467836257,0.30994152046783624
cp,703,3,28,12,357,303,0.8303698435277382,0.9957325746799431,0.4310099573257468
csplit,982,8,41,15,537,381,0.8161914460285132,0.9918533604887984,0.3879837067209776
cut,192,1,7,2,117,65,0.8098958333333334,0.9947916666666666,0.3385416666666667
date,747,4,38,26,387,292,0.8095716198125836,0.9946452476572959,0.3908969210174029
dd,493,4,18,9,250,212,0.8286004056795132,0.9918864097363083,0.4300202839756592
df,640,1,20,11,287,321,0.854296875,0.9984375,0.5015625
dir,1031,3,52,13,560,403,0.8171677982541222,0.997090203685742,0.39088263821532493
dircolors,190,2,6,2,115,65,0.8092105263157895,0.9894736842105263,0.34210526315789475
dirname,125,1,6,2,74,42,0.8,0.992,0.336
du,1499,10,54,28,835,572,0.8177118078719147,0.9933288859239493,0.3815877251501001
echo,118,1,6,2,71,38,0.7944915254237288,0.9915254237288136,0.3220338983050847
env,201,2,11,3,102,83,0.8146766169154229,0.9900497512437811,0.4129353233830846
expand,152,1,7,2,90,52,0.8042763157894737,0.993421052631579,0.34210526315789475
expr,911,8,37,25,492,349,0.812019758507135,0.991218441273326,0.38309549945115257
factor,511,23,24,22,191,251,0.8047945205479452,0.9549902152641878,0.4911937377690802
false,109,1,6,2,66,34,0.7889908256880734,0.9908256880733946,0.3119266055045872
fmt,186,1,6,2,110,67,0.8172043010752689,0.9946236559139785,0.3602150537634409
fold,143,1,7,2,78,55,0.8129370629370629,0.993006993006993,0.38461538461538464
groups,142,1,6,2,80,53,0.8133802816901409,0.9929577464788732,0.3732394366197183
head,215,1,13,2,116,83,0.8104651162790698,0.9953488372093023,0.386046511627907
hostid,118,1,6,4,72,35,0.7838983050847458,0.9915254237288136,0.2966101694915254
id,196,1,7,2,102,84,0.8329081632653061,0.9948979591836735,0.42857142857142855
join,260,1,8,3,151,97,0.8221153846153846,0.9961538461538462,0.3730769230769231
kill,148,3,8,2,79,56,0.7989864864864865,0.9797297297297297,0.3783783783783784
link,117,1,6,4,71,35,0.7841880341880342,0.9914529914529915,0.29914529914529914
ln,433,2,12,7,233,179,0.831986143187067,0.9953810623556582,0.4133949191685912
logname,118,1,6,4,72,35,0.7838983050847458,0.9915254237288136,0.2966101694915254
ls,1031,3,52,13,560,403,0.8171677982541222,0.997090203685742,0.39088263821532493
md5sum,217,2,12,2,120,81,0.8064516129032258,0.9907834101382489,0.37327188940092165
mkdir,306,2,12,6,149,137,0.8325163398692811,0.9934640522875817,0.4477124183006536
mkfifo,148,2,7,2,86,51,0.7989864864864865,0.9864864864864865,0.34459459459459457
mknod,165,2,7,2,89,65,0.8151515151515152,0.9878787878787879,0.3939393939393939
mktemp,164,2,6,2,94,60,0.8109756097560976,0.9878048780487805,0.36585365853658536
mv,773,4,30,12,433,294,0.8179172056921087,0.9948253557567918,0.38033635187580855
nice,130,1,6,2,73,48,0.8096153846153846,0.9923076923076923,0.36923076923076925
nl,896,11,36,15,476,358,0.81640625,0.9877232142857143,0.39955357142857145
nohup,162,1,7,4,105,45,0.7870370370370371,0.9938271604938271,0.2777777777777778
nproc,139,1,6,2,77,53,0.814748201438849,0.9928057553956835,0.381294964028777
numfmt,291,1,12,3,142,133,0.8384879725085911,0.9965635738831615,0.4570446735395189
od,459,2,20,7,209,221,0.8415032679738562,0.9956427015250545,0.48148148148148145
paste,142,1,6,2,85,48,0.8045774647887324,0.9929577464788732,0.3380281690140845
pathchk,141,1,6,2,88,44,0.7978723404255319,0.9929078014184397,0.3120567375886525
pinky,182,1,11,2,110,58,0.7925824175824175,0.9945054945054945,0.31868131868131866
pr,543,2,16,8,332,185,0.8139963167587477,0.996316758747698,0.3406998158379374
printenv,119,1,6,2,68,42,0.8025210084033614,0.9915966386554622,0.35294117647058826
printf,283,1,17,7,136,122,0.818904593639576,0.9964664310954063,0.43109540636042404
ptx,1126,8,44,28,590,456,0.8201598579040853,0.9928952042628775,0.4049733570159858
pwd,143,1,6,3,87,46,0.798951048951049,0.993006993006993,0.32167832167832167
readlink,243,1,9,5,137,91,0.8168724279835391,0.9958847736625515,0.37448559670781895
realpath,248,1,8,5,138,96,0.8225806451612904,0.9959677419354839,0.3870967741935484
rm,362,2,10,5,222,123,0.81353591160221,0.994475138121547,0.3397790055248619
rmdir,234,1,8,5,115,105,0.8365384615384616,0.9957264957264957,0.44871794871794873
runcon,121,1,6,2,75,37,0.7913223140495868,0.9917355371900827,0.30578512396694213
seq,279,1,20,6,128,124,0.8172043010752689,0.996415770609319,0.4444444444444444
sha1sum,215,2,9,3,116,85,0.8174418604651162,0.9906976744186047,0.3953488372093023
sha224sum,225,2,12,3,119,89,0.8122222222222222,0.9911111111111112,0.39555555555555555
sha256sum,225,2,12,3,119,89,0.8122222222222222,0.9911111111111112,0.39555555555555555
sha384sum,381,3,7,3,278,90,0.791994750656168,0.9921259842519685,0.23622047244094488
sha512sum,381,3,7,3,278,90,0.791994750656168,0.9921259842519685,0.23622047244094488
shred,370,2,18,2,203,145,0.8182432432432433,0.9945945945945946,0.3918918918918919
shuf,374,1,7,3,218,145,0.8335561497326203,0.9973262032085561,0.3877005347593583
sleep,143,1,8,4,80,50,0.7972027972027972,0.993006993006993,0.34965034965034963
sort,847,7,34,12,467,327,0.8167060212514758,0.9917355371900827,0.3860684769775679
split,297,2,12,2,159,122,0.8257575757575758,0.9932659932659933,0.4107744107744108
stat,608,5,21,14,321,247,0.8223684210526315,0.9917763157894737,0.40625
stdbuf,267,1,8,6,128,124,0.8426966292134831,0.9962546816479401,0.46441947565543074
stty,301,1,13,5,138,144,0.8413621262458472,0.9966777408637874,0.47840531561461797
sum,278,2,12,2,140,122,0.8309352517985612,0.9928057553956835,0.43884892086330934
sync,133,1,7,2,81,42,0.793233082706767,0.9924812030075187,0.3157894736842105
tac,920,8,37,15,505,355,0.8157608695652174,0.991304347826087,0.3858695652173913
tail,423,1,18,5,220,179,0.8297872340425532,0.9976359338061466,0.4231678486997636
tee,154,1,8,2,93,50,0.797077922077922,0.9935064935064936,0.3246753246753247
test,260,0,17,4,128,111,0.8201923076923077,1.0,0.4269230769230769
timeout,175,2,9,2,89,73,0.8171428571428572,0.9885714285714285,0.41714285714285715
touch,602,3,33,25,305,236,0.8064784053156147,0.9950166112956811,0.3920265780730897
tr,241,1,8,3,117,112,0.8433609958506224,0.995850622406639,0.46473029045643155
true,109,1,6,2,66,34,0.7889908256880734,0.9908256880733946,0.3119266055045872
truncate,145,1,6,2,83,53,0.8120689655172414,0.993103448275862,0.36551724137931035
tsort,162,1,9,4,96,52,0.7916666666666666,0.9938271604938271,0.32098765432098764
tty,114,1,6,2,69,36,0.7916666666666666,0.9912280701754386,0.3157894736842105
uname,120,2,6,2,71,39,0.7895833333333333,0.9833333333333333,0.325
unexpand,158,1,6,2,92,57,0.8132911392405063,0.9936708860759493,0.36075949367088606
uniq,202,1,9,2,115,75,0.8143564356435643,0.995049504950495,0.3712871287128713
unlink,117,1,6,4,71,35,0.7841880341880342,0.9914529914529915,0.29914529914529914
uptime,353,1,11,10,218,113,0.8052407932011332,0.9971671388101983,0.32011331444759206
users,133,1,6,4,81,41,0.7913533834586466,0.9924812030075187,0.3082706766917293
vdir,1031,3,52,13,560,403,0.8171677982541222,0.997090203685742,0.39088263821532493
wc,268,1,7,5,153,102,0.8246268656716418,0.996268656716418,0.3805970149253731
who,282,1,9,5,144,123,0.8359929078014184,0.9964539007092199,0.43617021276595747
whoami,120,1,6,4,74,35,0.7833333333333333,0.9916666666666667,0.2916666666666667
yes,132,1,6,4,80,41,0.7916666666666666,0.9924242424242424,0.3106060606060606
