,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,1010,379,116,0,171,344,0.4962871287128713,0.6247524752475248,0.3405940594059406
b2sum,1813,567,169,0,719,358,0.5182018753447325,0.6872586872586872,0.19746276889134032
base32,1061,623,77,0,56,305,0.3451932139491046,0.412818096135721,0.2874646559849199
base64,1089,655,73,0,56,305,0.3353994490358126,0.3985307621671258,0.2800734618916437
basename,739,335,69,0,52,283,0.4590663058186738,0.5466847090663058,0.38294993234100133
basenc,1707,1236,70,0,75,326,0.2341827768014059,0.2759226713532513,0.19097832454598712
cat,817,362,73,0,82,300,0.4648102815177478,0.5569155446756426,0.3671970624235006
chcon,17106,390,70,0,16271,375,0.7363352040219806,0.9772009821115398,0.021922132585057874
chgrp,1026,418,78,0,168,362,0.4946393762183236,0.5925925925925926,0.35282651072124754
chmod,1080,453,80,0,172,375,0.4851851851851851,0.5805555555555556,0.3472222222222222
chown,1059,420,77,0,192,370,0.5035410764872521,0.603399433427762,0.3493862134088763
chroot,799,335,70,0,79,315,0.4903003754693367,0.5807259073842302,0.39424280350438046
cksum,31380,11445,17069,0,2354,512,0.2085643722115997,0.6352772466539197,0.01631612492033142
comm,870,339,85,0,146,300,0.4951149425287356,0.6103448275862069,0.3448275862068966
cp,3616,1744,244,0,304,1324,0.4460730088495575,0.5176991150442478,0.3661504424778761
csplit,4073,774,181,0,857,2261,0.724036336852443,0.8099680824944758,0.5551190768475325
cut,4899,347,69,0,4181,302,0.7052459685650133,0.9291692182077975,0.061645233721167585
date,8190,2255,202,0,2841,2892,0.6194444444444445,0.7246642246642246,0.35311355311355314
dd,6097,1967,112,0,2915,1103,0.5440790552730851,0.677382319173364,0.18090864359521075
df,3126,437,170,0,1620,899,0.6898592450415867,0.8602047344849648,0.2875879718490083
dir,38591,8808,167,0,15943,13673,0.6652328263066518,0.7717602549817315,0.35430540799668314
dircolors,5577,5150,72,0,64,291,0.0640129101667563,0.07656446117984579,0.0521785906401291
dirname,737,332,69,0,51,285,0.4620081411126187,0.5495251017639078,0.38670284938941657
du,6328,947,277,0,1709,3395,0.75,0.8503476611883691,0.536504424778761
echo,725,323,69,0,50,283,0.4658620689655172,0.5544827586206896,0.3903448275862069
env,1323,713,69,0,162,379,0.3913454270597127,0.46107331821617537,0.28647014361300077
expand,796,367,69,0,66,294,0.4532035175879397,0.5389447236180904,0.3693467336683417
expr,4280,901,192,0,991,2196,0.6979556074766355,0.7894859813084112,0.5130841121495328
factor,4491,3399,305,0,174,613,0.1825317301269205,0.24315297261189045,0.13649521264751727
false,718,323,69,0,45,281,0.4623955431754875,0.5501392757660167,0.39136490250696376
fmt,13788,13343,69,0,77,299,0.0271250362634174,0.03227444154337105,0.02168552364374819
fold,793,370,69,0,58,296,0.449873896595208,0.5334174022698613,0.37326607818411095
groups,764,350,69,0,56,289,0.4558246073298429,0.5418848167539267,0.3782722513089005
head,33664,359,92,0,24705,8508,0.8038186192965779,0.989335788973384,0.2527328897338403
hostid,733,329,69,0,54,281,0.4621418826739427,0.5511596180081856,0.38335607094133695
id,872,406,69,0,95,302,0.4478211009174312,0.5344036697247706,0.3463302752293578
join,854,347,71,0,113,323,0.4982435597189695,0.5936768149882904,0.37822014051522246
kill,1222,763,69,0,76,314,0.3177168576104746,0.37561374795417346,0.2569558101472995
link,732,329,69,0,53,281,0.4617486338797814,0.5505464480874317,0.383879781420765
ln,1704,544,135,0,138,887,0.6010856807511737,0.6807511737089202,0.5205399061032864
logname,732,329,69,0,53,281,0.4617486338797814,0.5505464480874317,0.383879781420765
ls,38591,8808,167,0,15943,13673,0.6652328263066518,0.7717602549817315,0.35430540799668314
md5sum,1037,429,149,0,142,317,0.4443105110896818,0.5863066538090647,0.3056894889103182
mkdir,3057,423,104,0,2140,390,0.6611056591429506,0.8616290480863592,0.12757605495583907
mkfifo,837,382,75,0,59,321,0.4587813620071684,0.5436081242532855,0.3835125448028674
mknod,849,382,75,0,60,332,0.4661366313309776,0.5500588928150766,0.3910482921083628
mktemp,853,402,89,0,65,297,0.4314185228604923,0.5287221570926143,0.3481828839390387
mv,3668,1719,264,0,323,1362,0.4553571428571428,0.5313522355507089,0.371319520174482
nice,741,331,69,0,52,289,0.4659244264507422,0.553306342780027,0.3900134952766532
nl,4669,1596,179,0,722,2172,0.5907581923324052,0.6581709145427287,0.4651959734418505
nohup,767,329,69,0,82,287,0.476857887874837,0.5710560625814863,0.3741851368970013
nproc,768,333,71,0,54,310,0.4794921875,0.56640625,0.4036458333333333
numfmt,1088,379,131,0,104,474,0.5374540441176471,0.6516544117647058,0.43566176470588236
od,11712,659,100,0,10534,419,0.7124743852459017,0.9437329234972678,0.03577527322404372
paste,753,335,69,0,60,289,0.4664674634794156,0.5551128818061088,0.3837981407702523
pathchk,771,332,90,0,62,287,0.4617380025940337,0.569390402075227,0.3722438391699092
pinky,3214,404,76,0,2152,582,0.6891723708774113,0.8742999377722465,0.18108276291225886
pr,2634,461,133,0,308,1732,0.7578777524677297,0.8249810174639332,0.6575550493545937
printenv,732,331,69,0,47,285,0.4610655737704918,0.5478142076502732,0.38934426229508196
printf,3173,505,98,0,2131,439,0.6497793885912386,0.8408446265364009,0.13835486920895051
ptx,5741,2318,337,0,803,2283,0.5172443825117575,0.596237589270162,0.3976659118620449
pwd,863,423,75,0,57,308,0.4281575898030128,0.5098493626882966,0.35689455388180763
readlink,948,346,92,0,79,431,0.5414029535864979,0.6350210970464135,0.45464135021097046
realpath,844,366,95,0,75,308,0.4597156398104265,0.566350710900474,0.36492890995260663
rm,1032,409,116,0,140,367,0.4854651162790697,0.6036821705426356,0.3556201550387597
rmdir,2886,360,94,0,2103,329,0.6686590436590436,0.8752598752598753,0.113998613998614
runcon,737,339,69,0,47,282,0.4538670284938941,0.5400271370420624,0.38263229308005425
seq,921,372,96,0,112,341,0.4875135722041259,0.5960912052117264,0.3702497285559175
sha1sum,1046,429,153,0,129,335,0.4493307839388145,0.5898661567877629,0.3202676864244742
sha224sum,1182,493,200,0,149,340,0.424492385786802,0.5829103214890017,0.2876480541455161
sha256sum,1190,493,200,0,157,340,0.4266806722689075,0.5857142857142857,0.2857142857142857
sha384sum,1466,573,200,0,353,340,0.4466234652114597,0.6091405184174625,0.23192360163710776
sha512sum,1498,573,200,0,385,340,0.4531041388518024,0.6174899866488651,0.22696929238985314
shred,3159,523,82,0,1532,1022,0.6937321937321937,0.8344412788857233,0.32352010129787906
shuf,942,370,84,0,137,351,0.5039808917197452,0.6072186836518046,0.37261146496815284
sleep,748,329,71,0,60,288,0.4689171122994652,0.5601604278074866,0.3850267379679144
sort,11317,2020,320,0,452,8525,0.7903154546257842,0.8215074666431033,0.7532915083502695
split,1369,734,74,0,176,385,0.3911614317019722,0.46384222059897734,0.28122717311906503
stat,2845,707,174,0,312,1652,0.678207381370826,0.751493848857645,0.5806678383128295
stdbuf,1931,348,111,0,1134,338,0.6298549974106681,0.8197824961160021,0.17503883997928535
stty,1527,937,95,0,133,362,0.3179436804191224,0.38637851997380485,0.23706614276358873
sum,2233,358,71,0,1461,343,0.6522615315718764,0.8396775638154949,0.1536050156739812
sync,751,333,69,0,61,288,0.4673768308921438,0.5565912117177098,0.38348868175765644
tac,12312,9213,179,0,744,2176,0.2256944444444444,0.2517056530214425,0.17673814165042234
tail,33975,516,113,0,32951,395,0.7398528329654157,0.984812362030905,0.011626195732155998
tee,8961,339,69,0,8261,292,0.7259234460439683,0.9621694007365249,0.03258564892311126
test,959,332,116,0,169,342,0.5190302398331595,0.6538060479666319,0.35662148070907196
timeout,1210,654,71,0,81,404,0.3987603305785124,0.45950413223140496,0.3338842975206612
touch,6684,1960,179,0,2744,1801,0.5840439856373429,0.7067624177139438,0.2694494314781568
tr,10057,9300,332,0,82,343,0.04847369991051,0.07527095555334593,0.03410559809088197
true,718,323,69,0,45,281,0.4623955431754875,0.5501392757660167,0.39136490250696376
truncate,801,358,85,0,60,298,0.4547440699126092,0.5530586766541823,0.37203495630461925
tsort,757,329,77,0,62,289,0.4686261558784676,0.5653896961690885,0.3817701453104359
tty,731,333,71,0,46,281,0.4558823529411764,0.5444596443228454,0.3844049247606019
uname,1155,365,69,0,48,673,0.6287878787878788,0.683982683982684,0.5826839826839827
unexpand,769,335,69,0,66,299,0.4756176853055917,0.5643693107932379,0.38881664499349805
uniq,818,356,72,0,84,306,0.4731051344743276,0.5647921760391198,0.3740831295843521
unlink,732,329,69,0,53,281,0.4617486338797814,0.5505464480874317,0.383879781420765
uptime,10247,360,104,0,191,9592,0.9525958817214796,0.964867766175466,0.9360788523470284
users,739,329,69,0,56,285,0.4658322056833558,0.5548037889039242,0.38565629228687415
vdir,38591,8808,167,0,15943,13673,0.6652328263066518,0.7717602549817315,0.35430540799668314
wc,33696,386,71,0,32838,401,0.7433300688509021,0.9885446343779677,0.011900522317188984
who,1345,421,106,0,154,664,0.5992565055762081,0.6869888475836431,0.49368029739776953
whoami,734,329,69,0,55,281,0.462534059945504,0.5517711171662125,0.38283378746594005
yes,742,329,69,0,59,285,0.4669811320754717,0.5566037735849056,0.38409703504043125
