,Ground truth varnodes,Varnodes matched @ level NO MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnode fraction partially recovered,Varnode fraction exactly recovered
[,170,0,0,0,0,170,1.0,1.0,1.0
b2sum,140,0,0,0,0,140,1.0,1.0,1.0
base32,107,0,0,0,0,107,1.0,1.0,1.0
base64,107,0,0,0,0,107,1.0,1.0,1.0
basename,104,0,0,0,0,104,1.0,1.0,1.0
basenc,138,0,0,0,0,138,1.0,1.0,1.0
cat,115,0,0,0,0,115,1.0,1.0,1.0
chcon,234,0,0,0,0,234,1.0,1.0,1.0
chgrp,230,0,0,0,0,230,1.0,1.0,1.0
chmod,217,0,0,0,0,217,1.0,1.0,1.0
chown,241,0,0,0,0,241,1.0,1.0,1.0
chroot,133,0,0,0,0,133,1.0,1.0,1.0
cksum,234,0,0,0,0,234,1.0,1.0,1.0
comm,127,0,0,0,0,127,1.0,1.0,1.0
cp,403,0,0,0,0,403,1.0,1.0,1.0
csplit,1416,0,0,0,0,1416,1.0,1.0,1.0
cut,122,0,0,0,0,122,1.0,1.0,1.0
date,426,1,0,0,0,425,0.9976525821596244,0.9976525821596244,0.9976525821596244
dd,216,0,0,0,0,216,1.0,1.0,1.0
df,419,0,0,0,0,419,1.0,1.0,1.0
dir,642,0,0,0,0,642,1.0,1.0,1.0
dircolors,229,0,0,0,0,229,1.0,1.0,1.0
dirname,94,0,0,0,0,94,1.0,1.0,1.0
du,1650,0,0,0,0,1650,1.0,1.0,1.0
echo,84,0,0,0,0,84,1.0,1.0,1.0
env,138,0,0,0,0,138,1.0,1.0,1.0
expand,101,0,0,0,0,101,1.0,1.0,1.0
expr,1399,0,0,0,0,1399,1.0,1.0,1.0
factor,196,12,1,0,0,183,0.9349489795918368,0.9387755102040817,0.9336734693877551
false,82,0,0,0,0,82,1.0,1.0,1.0
fmt,2126,0,0,0,0,2126,1.0,1.0,1.0
fold,99,0,0,0,0,99,1.0,1.0,1.0
groups,100,0,0,0,0,100,1.0,1.0,1.0
head,125,0,0,0,0,125,1.0,1.0,1.0
hostid,93,0,0,0,0,93,1.0,1.0,1.0
id,134,0,0,0,0,134,1.0,1.0,1.0
join,149,0,0,0,0,149,1.0,1.0,1.0
kill,102,0,0,0,0,102,1.0,1.0,1.0
link,93,0,0,0,0,93,1.0,1.0,1.0
ln,276,0,0,0,0,276,1.0,1.0,1.0
logname,94,0,0,0,0,94,1.0,1.0,1.0
ls,642,0,0,0,0,642,1.0,1.0,1.0
md5sum,132,0,0,0,0,132,1.0,1.0,1.0
mkdir,192,0,0,0,0,192,1.0,1.0,1.0
mkfifo,100,0,0,0,0,100,1.0,1.0,1.0
mknod,105,0,0,0,0,105,1.0,1.0,1.0
mktemp,117,0,0,0,0,117,1.0,1.0,1.0
mv,379,0,0,0,0,379,1.0,1.0,1.0
nice,95,0,0,0,0,95,1.0,1.0,1.0
nl,1404,0,0,0,0,1404,1.0,1.0,1.0
nohup,106,0,0,0,0,106,1.0,1.0,1.0
nproc,96,0,0,0,0,96,1.0,1.0,1.0
numfmt,184,0,0,0,0,184,1.0,1.0,1.0
od,226,0,0,0,0,226,1.0,1.0,1.0
paste,103,0,0,0,0,103,1.0,1.0,1.0
pathchk,95,0,0,0,0,95,1.0,1.0,1.0
pinky,120,0,0,0,0,120,1.0,1.0,1.0
pr,218,0,0,0,0,218,1.0,1.0,1.0
printenv,93,0,0,0,0,93,1.0,1.0,1.0
printf,178,0,0,0,0,178,1.0,1.0,1.0
ptx,1540,0,1,0,0,1539,0.999512987012987,1.0,0.9993506493506493
pwd,105,0,0,0,0,105,1.0,1.0,1.0
readlink,187,0,0,0,0,187,1.0,1.0,1.0
realpath,196,0,0,0,0,196,1.0,1.0,1.0
rm,236,0,0,0,0,236,1.0,1.0,1.0
rmdir,180,0,0,0,0,180,1.0,1.0,1.0
runcon,106,0,0,0,0,106,1.0,1.0,1.0
seq,193,0,0,0,0,193,1.0,1.0,1.0
sha1sum,131,0,0,0,0,131,1.0,1.0,1.0
sha224sum,132,0,0,0,0,132,1.0,1.0,1.0
sha256sum,132,0,0,0,0,132,1.0,1.0,1.0
sha384sum,132,0,0,0,0,132,1.0,1.0,1.0
sha512sum,132,0,0,0,0,132,1.0,1.0,1.0
shred,174,0,0,0,0,174,1.0,1.0,1.0
shuf,218,0,0,0,0,218,1.0,1.0,1.0
sleep,99,0,0,0,0,99,1.0,1.0,1.0
sort,492,0,0,0,0,492,1.0,1.0,1.0
split,162,0,0,0,0,162,1.0,1.0,1.0
stat,286,0,0,0,0,286,1.0,1.0,1.0
stdbuf,201,0,0,0,0,201,1.0,1.0,1.0
stty,331,0,0,0,0,331,1.0,1.0,1.0
sum,131,0,0,0,0,131,1.0,1.0,1.0
sync,95,0,0,0,0,95,1.0,1.0,1.0
tac,1390,0,0,0,0,1390,1.0,1.0,1.0
tail,225,0,0,0,0,225,1.0,1.0,1.0
tee,108,0,0,0,0,108,1.0,1.0,1.0
test,157,0,0,0,0,157,1.0,1.0,1.0
timeout,113,0,0,0,0,113,1.0,1.0,1.0
touch,391,1,0,0,0,390,0.9974424552429668,0.9974424552429667,0.9974424552429667
tr,146,0,0,0,0,146,1.0,1.0,1.0
true,82,0,0,0,0,82,1.0,1.0,1.0
truncate,100,0,0,0,0,100,1.0,1.0,1.0
tsort,118,0,0,0,0,118,1.0,1.0,1.0
tty,93,0,0,0,0,93,1.0,1.0,1.0
uname,118,0,0,0,0,118,1.0,1.0,1.0
unexpand,104,0,0,0,0,104,1.0,1.0,1.0
uniq,143,0,0,0,0,143,1.0,1.0,1.0
unlink,93,0,0,0,0,93,1.0,1.0,1.0
uptime,126,0,0,0,1,125,0.998015873015873,1.0,0.9920634920634921
users,102,0,0,0,0,102,1.0,1.0,1.0
vdir,642,0,0,0,0,642,1.0,1.0,1.0
wc,176,0,0,0,0,176,1.0,1.0,1.0
who,222,0,0,0,0,222,1.0,1.0,1.0
whoami,94,0,0,0,0,94,1.0,1.0,1.0
yes,98,0,0,0,0,98,1.0,1.0,1.0
