,Ground truth varnodes (decomposed),Varnodes matched @ level=NO_MATCH (decomposed),Varnodes matched @ level=OVERLAP (decomposed),Varnodes matched @ level=SUBSET (decomposed),Varnodes matched @ level=ALIGNED (decomposed),Varnodes matched @ level=MATCH (decomposed),"Varnode average comparison score [0,1] (decomposed)"
[,1190,47,152,0,484,507,0.7630252100840336
b2sum,1954,47,277,0,1234,396,0.7117451381780963
base32,1169,79,145,0,609,336,0.7091531223267751
base64,1197,47,141,0,673,336,0.731829573934837
basename,844,47,137,0,349,311,0.7191943127962085
basenc,1847,308,171,0,1003,365,0.6280454791553871
cat,933,47,153,0,390,343,0.7221329046087889
chcon,17348,49,180,0,16645,474,0.7495244408577357
chgrp,1264,50,171,0,539,504,0.752373417721519
chmod,1305,70,163,0,543,529,0.7486590038314176
chown,1308,49,175,0,566,518,0.7540137614678899
chroot,933,47,138,0,380,368,0.7368703108252947
cksum,31779,8427,19512,0,3271,569,0.24859970420718083
comm,998,47,171,0,451,329,0.7114228456913828
cp,4028,205,399,0,1746,1678,0.7664473684210527
csplit,5532,455,584,0,2129,2364,0.7423626174981923
cut,5022,47,157,0,4485,333,0.743926722421346
date,8648,338,790,0,4470,3050,0.7631822386679001
dd,6329,625,208,0,4278,1218,0.7076157370832675
df,3581,49,342,0,2002,1188,0.7749232058084334
dir,39265,4924,745,0,19731,13865,0.7347383165669171
dircolors,5810,4855,238,0,386,331,0.11703958691910499
dirname,832,47,129,0,346,310,0.7232572115384616
du,8033,514,789,0,3114,3616,0.7654363251587203
echo,810,47,113,0,343,307,0.7314814814814815
env,1464,362,197,0,486,419,0.568818306010929
expand,898,47,135,0,398,318,0.7241091314031181
expr,5727,601,552,0,2275,2299,0.7234590536057273
factor,4701,281,1750,0,1989,681,0.55525420123378
false,801,47,113,0,338,303,0.7300249687890137
fmt,15915,47,10153,0,5382,333,0.4340402136349356
fold,893,47,137,0,387,322,0.7239641657334827
groups,865,47,125,0,373,320,0.7294797687861272
head,33790,47,155,0,25008,8580,0.8101435335898195
hostid,827,47,125,0,348,307,0.7246070133010882
id,1007,47,153,0,458,349,0.7256703078450845
join,1004,47,166,0,424,367,0.723605577689243
kill,1325,475,137,0,370,343,0.4941509433962264
link,826,47,125,0,347,307,0.7245762711864406
ln,1997,112,210,0,525,1150,0.7993239859789685
logname,827,47,125,0,348,307,0.7246070133010882
ls,39265,4924,745,0,19731,13865,0.7347383165669171
md5sum,1170,63,245,0,514,348,0.6792735042735043
mkdir,3260,64,182,0,2456,558,0.7501533742331289
mkfifo,938,64,133,0,358,383,0.7300106609808102
mknod,955,64,133,0,361,397,0.7340314136125654
mktemp,971,110,148,0,366,347,0.6781668383110195
mv,4056,257,296,0,1795,1708,0.7712647928994083
nice,837,47,129,0,345,316,0.7252090800477897
nl,6115,478,617,0,2744,2276,0.7339738348323794
nohup,874,47,125,0,385,317,0.7288329519450801
nproc,865,47,133,0,349,336,0.7294797687861272
numfmt,1280,47,297,0,414,522,0.7083984375
od,11965,103,313,0,10991,558,0.7421228583368157
paste,857,47,137,0,357,316,0.721120186697783
pathchk,869,47,133,0,358,331,0.7281357882623706
pinky,3335,47,137,0,2518,633,0.7663418290854572
pr,2854,102,293,0,651,1808,0.8302382620882971
printenv,826,47,129,0,340,310,0.7230629539951574
printf,3369,222,164,0,2447,536,0.7160136539032353
ptx,7336,663,821,0,3390,2462,0.7101622137404581
pwd,969,47,142,0,358,422,0.7492260061919505
readlink,1152,49,166,0,414,523,0.7595486111111112
realpath,1057,49,174,0,415,419,0.7320245979186376
rm,1276,66,183,0,517,510,0.7394200626959248
rmdir,3076,47,178,0,2412,439,0.7452860858257477
runcon,844,47,145,0,347,305,0.7126777251184834
seq,1136,47,191,0,458,440,0.7317341549295775
sha1sum,1178,63,247,0,502,366,0.6827249575551783
sha224sum,1315,63,360,0,521,371,0.6477186311787072
sha256sum,1323,63,360,0,529,371,0.6483371126228269
sha384sum,1599,143,296,0,789,371,0.6483739837398373
sha512sum,1631,143,296,0,821,371,0.6503678724708768
shred,3337,112,231,0,1871,1123,0.7743482169613425
shuf,1168,47,160,0,496,465,0.7508561643835616
sleep,855,47,127,0,358,323,0.7289473684210527
sort,11845,269,574,0,2293,8709,0.8925495989869143
split,1533,379,237,0,490,427,0.556914546640574
stat,3141,225,310,0,785,1821,0.7918656478828399
stdbuf,2142,47,187,0,1449,459,0.7434640522875817
stty,1868,53,697,0,662,456,0.6031852248394004
sum,2368,63,143,0,1778,384,0.7403927364864865
sync,847,47,133,0,357,310,0.7213695395513577
tac,13744,455,556,0,10460,2273,0.7462892898719441
tail,34216,68,203,0,33300,645,0.7502557283142389
tee,9070,47,146,0,8561,316,0.7467750826901874
test,1126,0,152,0,472,502,0.7939609236234458
timeout,1334,362,147,0,381,444,0.5745877061469266
touch,7107,313,733,0,4095,1966,0.7345574785422823
tr,10204,50,424,0,9354,376,0.7347608780870247
true,801,47,113,0,338,303,0.7300249687890137
truncate,902,47,141,0,355,359,0.7322616407982262
tsort,876,47,132,0,373,324,0.7268835616438356
tty,825,47,133,0,341,304,0.7187878787878788
uname,1274,55,181,0,343,695,0.782967032967033
unexpand,874,47,139,0,364,324,0.7228260869565217
uniq,962,47,184,0,389,342,0.7066008316008316
unlink,826,47,125,0,347,307,0.7245762711864406
uptime,10379,49,184,0,514,9632,0.9696020811253493
users,842,47,125,0,357,313,0.7268408551068883
vdir,39265,4924,745,0,19731,13865,0.7347383165669171
wc,36065,2264,164,0,33168,469,0.703895743795924
who,1577,47,243,0,505,782,0.774571972098922
whoami,829,47,125,0,350,307,0.7246682750301568
yes,841,47,125,0,356,313,0.7268133174791914
